task	stimulus	sound_word	action_word	expected_response	response	rt	condition	subject	log_rt	
lexical_decision	Strame	NA	NA	0.0	0.0	764.0	pIPL	1	2.8830933585756897	
lexical_decision	Maske	-1	1	1.0	1.0	558.0	pIPL	1	2.7466341989375787	
lexical_decision	Floh	-1	-1	1.0	1.0	620.0	pIPL	1	2.792391689498254	
lexical_decision	Plaubel	NA	NA	0.0	0.0	615.0	pIPL	1	2.788875115775417	
lexical_decision	Dusten	NA	NA	0.0	0.0	966.0	pIPL	1	2.9849771264154934	
lexical_decision	Nidolette	NA	NA	0.0	0.0	667.0	pIPL	1	2.824125833916549	
lexical_decision	Zwiebel	-1	1	1.0	1.0	617.0	pIPL	1	2.7902851640332416	
lexical_decision	Biber	-1	-1	1.0	1.0	598.0	pIPL	1	2.776701183988411	
lexical_decision	Tamofe	NA	NA	0.0	0.0	626.0	pIPL	1	2.7965743332104296	
lexical_decision	Krawatte	-1	1	1.0	1.0	831.0	pIPL	1	2.919601023784111	
lexical_decision	Auster	-1	-1	1.0	1.0	738.0	pIPL	1	2.8680563618230415	
lexical_decision	Knassel	NA	NA	0.0	0.0	610.0	pIPL	1	2.785329835010767	
lexical_decision	Gesäun	NA	NA	0.0	0.0	722.0	pIPL	1	2.858537197569639	
lexical_decision	Schabe	-1	-1	1.0	1.0	793.0	pIPL	1	2.8992731873176036	
lexical_decision	Gong	1	1	1.0	1.0	668.0	pIPL	1	2.824776462475546	
lexical_decision	Klafatte	NA	NA	0.0	1.0	758.0	pIPL	1	2.8796692056320534	
lexical_decision	Nautsche	NA	NA	0.0	0.0	692.0	pIPL	1	2.840106094456758	
lexical_decision	Specht	1	-1	1.0	1.0	668.0	pIPL	1	2.824776462475546	
lexical_decision	Peitsche	1	1	1.0	1.0	992.0	pIPL	1	2.9965116721541785	
lexical_decision	Keyboard	1	1	1.0	1.0	981.0	pIPL	1	2.9916690073799486	
lexical_decision	Seife	-1	1	1.0	1.0	703.0	pIPL	1	2.846955325019824	
lexical_decision	Lazende	NA	NA	0.0	0.0	720.0	pIPL	1	2.8573324964312685	
